Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Total_Cases_per1M_population,Deaths_per1M_population,Total_Tests,Tests_per1M_population,Population
Guinea-Bissau,6133,141,5492.0,500.0,3023,69,102067.0,50301.0,2029112
Guyana,35170,899,30933.0,3338.0,44432,1136,348832.0,440694.0,791551
Haiti,23619,662,20249.0,2708.0,2039,57,120507.0,10402.0,11585458
Honduras,374783,10211,115547.0,249025.0,37064,1010,1084755.0,107276.0,10111812
Hong Kong,12331,213,12029.0,89.0,1627,28,26499519.0,3497333.0,7577065
Hungary,852214,30611,795828.0,25775.0,88514,3179,7301452.0,758354.0,9628020
Iceland,13236,33,12427.0,776.0,38459,96,1127289.0,3275479.0,344160
India,34215653,455684,33597339.0,162630.0,24477,326,601901543.0,430586.0,1397864972
Indonesia,4241090,143270,4084831.0,12989.0,15293,517,45541632.0,164214.0,277330765
Iran,5877456,125519,5443243.0,308694.0,68817,1470,32619228.0,381924.0,85407642
Iraq,2049240,23024,1991575.0,34641.0,49488,556,15718588.0,379597.0,41408566
Ireland,433902,5369,379308.0,49225.0,86601,1072,7897226.0,1576172.0,5010383
Isle of Man,9327,57,8492.0,778.0,108927,666,128771.0,1503877.0,85626
Israel,1324897,8063,1305834.0,11000.0,142065,865,29094533.0,3119723.0,9326000
Italy,4747773,131904,4540823.0,75046.0,78678,2186,101911219.0,1688819.0,60344656
Ivory Coast,61221,691,59852.0,678.0,2248,25,1066678.0,39164.0,27236329
Jamaica,88480,2184,56944.0,29352.0,29709,733,635655.0,213437.0,2978192
Japan,1717104,18207,1693826.0,5071.0,13631,145,26183287.0,207860.0,125966129
Jordan,854758,10976,824993.0,18789.0,82693,1062,10809943.0,1045806.0,10336473
